Site,SO1,SO2,SO3,SO4,PA,PAS,R,Crop,H,C,DistV,Kud,Imp,AllPrey,Post,Hnt,Htd,Riv
5,0,0,0,NA,0.54,-0.90,1.74,-0.49,1.00,1.25,-0.20,0.44,-1.28,0.21,0.21,1.13,1.71,1.12
6,0,0,0,0,0.68,-0.90,1.11,-0.49,1.00,0.87,0.03,0.44,-0.83,0.45,0.02,1.26,1.84,1.00
7,0,0,0,0,0.68,-0.90,-0.13,-0.49,1.00,0.40,0.40,0.44,-0.50,0.49,0.24,1.26,0.74,0.90
8,0,0,0,0,0.68,-0.74,-0.06,-0.49,1.00,0.12,0.64,0.44,-0.32,0.53,0.90,1.26,-0.47,0.67
9,0,0,0,0,0.68,-0.90,1.32,-0.49,1.00,-0.31,0.20,0.44,0.07,0.57,1.01,1.26,-0.67,0.22
10,0,0,0,NA,0.39,-0.90,-1.34,0.12,0.12,-0.03,-0.91,0.12,-0.05,0.37,-0.05,1.00,-0.67,-0.64
11,0,0,0,NA,-1.63,-0.90,-0.13,0.42,-0.41,0.35,-1.31,0.05,0.39,-1.14,-1.10,-0.79,-0.67,-0.75
21,0,0,0,0,-1.14,-0.32,0.13,0.38,1.00,1.15,-1.32,-0.15,-1.37,-1.06,-1.62,-0.35,0.11,1.50
22,0,0,0,0,0.29,0.69,1.97,-0.48,1.00,1.06,-0.90,0.36,-1.04,0.29,-0.80,0.91,1.44,1.39
23,0,1,NA,NA,0.68,-0.48,-1.22,-0.49,1.00,-0.26,0.03,0.44,0.31,0.74,0.27,1.26,1.84,1.29
25,0,0,0,0,0.68,0.49,1.57,-0.49,1.00,0.07,0.76,0.44,-0.32,0.62,0.86,1.26,1.84,0.94
26,0,0,0,0,0.68,1.31,-0.13,-0.49,1.00,-0.07,0.83,0.48,0.04,0.82,1.37,1.26,1.84,0.59
27,0,0,0,0,0.68,0.58,-0.34,-0.49,0.84,0.26,0.50,0.48,-0.05,0.74,1.12,1.26,1.01,0.02
28,0,0,0,0,0.68,-0.15,-1.15,-0.49,-1.09,0.35,-0.04,0.44,0.93,0.62,0.07,1.26,0.19,-1.66
29,0,0,0,0,-0.45,-0.90,2.95,-0.49,-0.12,0.82,-0.53,0.44,-0.71,-0.49,-0.87,0.26,-0.67,-0.71
39,1,0,0,0,0.66,1.29,-0.08,-0.48,1.00,1.62,-0.37,0.40,-1.13,0.57,-1.16,1.24,1.84,1.55
40,0,0,0,0,0.68,1.31,-0.17,-0.49,1.00,1.53,0.18,0.44,-0.95,0.66,-0.56,1.26,1.84,1.43
41,0,0,0,NA,0.68,1.27,1.32,-0.49,1.00,0.73,0.48,0.44,-0.50,0.74,0.03,1.26,1.84,1.30
