Site,SO1,SO2,SO3,SO4,PAS,R,H,C,Imp,AllPrey,Hum,Post,Bound,Htd,Riv
5,0,0,0,NA,-1.08,1.48,0.54,1.05,-1.29,-0.31,1.11,0.03,-0.99,0.92,0.79
6,0,0,0,0,-1.08,0.85,0.54,0.56,-0.77,0.07,0.98,-0.15,-0.61,1.03,0.67
7,0,0,0,0,-1.08,-0.39,0.54,-0.06,-0.39,0.13,0.79,0.07,-0.23,-0.01,0.57
8,0,0,0,0,-0.92,-0.32,0.54,-0.43,-0.18,0.19,0.71,0.71,-0.08,-1.15,0.35
9,0,0,0,0,-1.08,1.06,0.54,-0.98,0.28,0.26,0.98,0.82,-0.57,-1.34,-0.09
10,0,0,0,NA,-1.08,-1.61,-0.56,-0.61,0.14,-0.06,1.03,-0.23,-1.03,-1.34,-0.93
11,0,0,0,NA,-1.08,-0.39,-1.23,-0.12,0.66,-2.41,0.87,-1.27,-0.98,-1.34,-1.03
21,0,0,0,0,-0.51,-0.13,0.54,0.92,-1.39,-2.28,0.79,-1.78,-1.09,-0.60,1.16
22,0,0,0,0,0.50,1.71,0.54,0.80,-1.01,-0.19,0.56,-0.97,-1.05,0.65,1.06
23,0,1,NA,NA,-0.66,-1.49,0.54,-0.92,0.55,0.51,0.79,0.09,-0.64,1.03,0.96
25,0,0,0,0,0.31,1.32,0.54,-0.49,-0.18,0.32,-0.36,0.68,0.26,1.03,0.61
26,0,0,0,0,1.12,-0.39,0.54,-0.67,0.24,0.64,-0.83,1.18,0.35,1.03,0.28
27,0,0,0,0,0.39,-0.60,0.35,-0.24,0.14,0.51,0.03,0.94,-0.13,0.25,-0.28
28,0,0,0,0,-0.33,-1.42,-2.08,-0.12,1.28,0.32,0.69,-0.10,-0.67,-0.53,-1.92
29,0,0,0,0,-1.08,2.70,-0.87,0.49,-0.63,-1.39,1.06,-1.04,-1.12,-1.34,-0.99
39,1,0,0,0,1.10,-0.35,0.54,1.54,-1.12,0.26,0.11,-1.33,-0.95,1.03,1.21
40,0,0,0,0,1.12,-0.44,0.54,1.41,-0.91,0.38,-0.26,-0.74,-0.52,1.03,1.09
41,0,0,0,NA,1.07,1.06,0.54,0.37,-0.39,0.51,-0.57,-0.14,-0.18,1.03,0.96
42,0,1,0,NA,0.68,-0.84,0.54,0.00,0.17,0.70,-0.89,-0.40,0.27,1.03,0.82
43,0,1,0,0,1.12,1.76,0.54,-0.37,0.00,0.51,-1.25,-0.20,0.78,1.03,0.63
44,0,0,0,NA,0.68,1.32,0.54,-0.37,-0.21,0.38,-1.04,0.47,0.78,1.03,0.35
45,0,0,0,0,-0.22,0.17,0.26,-0.37,-0.42,0.07,0.24,1.07,0.20,0.44,-0.08
46,0,0,0,0,-1.06,-0.72,-1.31,0.37,-0.18,-0.12,0.98,0.49,-0.43,-1.27,-0.89
47,0,0,0,0,-1.08,-0.63,-2.05,0.74,0.80,-0.19,1.06,-0.15,-1.03,-1.34,-1.98
48,0,0,NA,NA,-1.08,-0.56,-2.22,0.49,1.28,-2.03,1.03,-0.32,-1.07,-1.34,-1.69
56,0,0,NA,NA,-0.40,0.87,0.54,1.11,-1.25,-1.90,0.98,-0.43,-1.10,-0.60,1.24
57,0,0,0,0,1.12,0.57,0.54,1.84,-1.29,0.26,0.29,-0.29,-0.78,1.03,1.14
58,0,0,0,0,1.12,1.48,0.54,1.35,-1.01,0.32,-0.44,-0.08,-0.15,1.03,1.00
59,0,0,0,1,1.12,0.89,0.54,0.19,-0.32,0.51,-1.10,-0.73,0.35,1.03,0.83
60,0,0,0,0,1.12,-1.09,0.54,0.19,0.10,0.70,-1.31,-1.44,0.74,1.03,0.65
61,0,0,0,0,1.12,2.04,0.54,-0.49,0.14,0.57,-1.36,-1.06,1.18,1.03,0.47
62,0,0,0,0,-0.79,0.40,0.54,-0.61,0.14,0.32,-0.68,-0.10,1.00,1.03,0.22
63,0,0,0,0,-1.08,-1.19,-1.50,-0.18,0.59,0.07,0.40,0.43,0.37,1.03,-0.25
64,0,0,0,NA,-1.08,1.83,-0.76,0.19,-0.45,-0.19,0.87,0.26,-0.21,0.61,-0.59
66,0,0,0,NA,-1.08,0.24,-2.22,-0.06,1.11,-0.25,1.08,0.66,-0.99,-1.34,-1.75
74,0,0,1,NA,0.53,-0.60,0.54,0.86,-0.77,-0.19,0.50,-1.09,-1.09,-0.13,1.15
75,0,1,0,0,1.12,-0.30,0.54,1.41,-0.98,0.32,0.01,-0.10,-0.58,0.39,1.03
76,0,0,0,0,1.12,-0.25,0.54,1.54,-1.01,0.38,-0.55,0.17,0.03,0.96,0.90
77,0,0,0,0,1.12,-1.02,0.54,-0.18,0.31,0.76,-1.28,-0.86,0.66,1.03,0.72
78,0,0,1,1,1.12,0.05,0.54,0.43,0.03,0.70,-1.39,-1.69,1.22,1.03,0.47
79,0,0,0,0,1.12,0.08,0.54,-0.67,0.80,0.89,-1.41,-1.22,1.60,1.03,0.16
80,0,0,0,0,-0.18,-0.56,-0.04,-0.43,0.38,0.45,-1.12,-0.26,1.25,1.03,-0.16
83,0,0,0,0,-0.42,-0.93,-2.22,-0.98,1.63,0.32,-0.07,-0.41,-0.12,0.84,-2.00
84,1,1,0,0,-1.06,-0.23,-2.22,-1.16,1.67,0.32,0.85,0.43,-0.68,-0.77,-1.69
85,0,0,NA,NA,-1.08,0.31,-2.22,-1.10,1.56,-1.14,1.08,1.40,-1.12,-1.34,-1.99
91,0,0,0,NA,-0.46,-1.21,0.54,-0.43,-0.11,-1.84,0.64,-1.63,-1.10,-1.34,1.20
94,0,0,0,NA,1.12,-0.58,0.54,-0.06,0.45,0.89,-0.97,0.48,0.29,-0.51,0.75
96,1,0,NA,NA,1.12,-1.54,0.54,0.00,0.76,0.95,-1.39,-0.72,1.48,1.03,0.35
97,0,0,1,1,1.12,0.36,0.26,-0.61,0.69,0.83,-1.41,-0.49,1.98,1.03,-0.12
98,0,0,0,0,1.12,-1.09,-1.61,-2.27,1.67,0.70,-1.41,-0.20,1.63,1.03,-1.18
99,0,0,0,0,1.12,-0.39,-2.22,-1.78,1.67,0.38,-1.41,-1.13,1.17,1.03,-1.77
100,0,0,0,0,1.12,-0.06,-2.22,-0.67,1.67,0.51,-1.36,-1.77,0.70,0.23,-1.87
101,0,0,0,0,1.12,1.13,-2.22,-1.35,1.63,0.32,-1.20,-1.01,0.09,-1.17,-1.43
103,0,0,0,NA,-1.08,-1.12,-2.22,-1.04,1.67,-0.06,1.03,1.10,-1.08,0.37,-1.96
110,1,0,0,0,0.81,-1.87,0.54,0.00,0.34,0.76,0.22,-0.38,-0.93,-1.01,1.00
112,0,0,0,NA,1.12,-0.72,0.54,-1.29,1.14,1.02,-0.99,1.07,0.35,-1.25,0.60
