Site,SO1,SO2,SO3,SO4,PAS,R,H,C,Bound,Imp,AllPrey,Hum,Post,Hnt,Htd,Riv
5,0,0,0,NA,-1.16,1.69,0.89,1.16,-0.98,-1.53,-0.45,1.22,0.28,0.88,1.44,1.08
6,0,0,0,0,-1.16,1.02,0.89,0.73,-0.57,-1.05,0.01,1.08,0.09,1.01,1.56,0.97
7,0,0,0,0,-1.16,-0.31,0.89,0.19,-0.15,-0.69,0.08,0.90,0.32,1.01,0.52,0.88
8,0,0,0,0,-1.00,-0.23,0.89,-0.13,0.01,-0.50,0.16,0.82,0.98,1.01,-0.62,0.66
9,0,0,0,0,-1.16,1.24,0.89,-0.61,-0.52,-0.08,0.24,1.08,1.09,1.01,-0.81,0.24
10,0,0,0,NA,-1.16,-1.61,0.00,-0.29,-1.02,-0.21,-0.15,1.14,0.01,0.75,-0.81,-0.55
11,0,0,NA,NA,-1.16,-0.31,-0.53,0.14,-0.96,0.27,-2.99,0.98,-1.05,-1.04,-0.81,-0.65
21,0,0,0,0,-0.58,-0.03,0.89,1.05,-1.09,-1.62,-2.84,0.90,-1.57,-0.61,-0.08,1.44
22,0,0,0,0,0.44,1.94,0.89,0.94,-1.05,-1.27,-0.30,0.66,-0.75,0.66,1.18,1.34
23,0,1,NA,NA,-0.73,-1.48,0.89,-0.56,-0.60,0.17,0.55,0.90,0.34,1.01,1.56,1.24
25,0,0,0,0,0.24,1.52,0.89,-0.18,0.38,-0.50,0.32,-0.28,0.94,1.01,1.56,0.91
26,0,0,0,0,1.06,-0.31,0.89,-0.35,0.47,-0.12,0.70,-0.76,1.46,1.01,1.56,0.59
27,0,0,0,0,0.33,-0.53,0.74,0.03,-0.04,-0.21,0.55,0.12,1.20,1.01,0.78,0.06
28,0,0,0,0,-0.40,-1.41,-1.22,0.14,-0.63,0.85,0.32,0.79,0.14,1.01,0.00,-1.50
29,0,0,0,NA,-1.16,2.99,-0.24,0.68,-1.12,-0.92,-1.76,1.16,-0.81,0.01,-0.81,-0.62
39,1,0,0,0,1.04,-0.26,0.89,1.59,-0.93,-1.37,0.24,0.20,-1.11,0.99,1.56,1.48
40,0,0,0,0,1.06,-0.36,0.89,1.48,-0.47,-1.17,0.39,-0.17,-0.50,1.01,1.56,1.37
41,0,0,0,NA,1.01,1.24,0.89,0.57,-0.10,-0.69,0.55,-0.49,0.10,1.01,1.56,1.25
42,0,1,0,NA,0.62,-0.78,0.89,0.25,0.39,-0.18,0.78,-0.81,-0.16,1.01,1.56,1.11
43,0,1,0,0,1.06,1.99,0.89,-0.08,0.94,-0.34,0.55,-1.18,0.04,1.01,1.56,0.93
44,0,0,0,NA,0.62,1.52,0.89,-0.08,0.94,-0.53,0.39,-0.97,0.73,1.01,1.56,0.66
45,0,0,0,0,-0.29,0.29,0.67,-0.08,0.31,-0.73,0.01,0.34,1.34,1.01,0.97,0.25
46,0,0,0,0,-1.13,-0.66,-0.60,0.57,-0.37,-0.50,-0.22,1.08,0.74,1.01,-0.74,-0.52
47,0,0,0,0,-1.16,-0.56,-1.20,0.89,-1.02,0.40,-0.30,1.16,0.10,0.79,-0.81,-1.56
48,0,0,NA,NA,-1.16,-0.48,-1.33,0.68,-1.06,0.85,-2.53,1.14,-0.08,-0.80,-0.81,-1.28
56,0,0,NA,NA,-0.47,1.04,0.89,1.21,-1.10,-1.50,-2.38,1.08,-0.20,-0.50,-0.08,1.51
57,0,0,0,0,1.06,0.72,0.89,1.86,-0.75,-1.53,0.24,0.39,-0.05,1.01,1.56,1.41
58,0,0,0,0,1.06,1.69,0.89,1.43,-0.07,-1.27,0.32,-0.36,0.16,1.01,1.56,1.28
59,0,0,0,1,1.06,1.07,0.89,0.41,0.48,-0.63,0.55,-1.02,-0.50,1.01,1.56,1.12
60,0,0,0,0,1.06,-1.06,0.89,0.41,0.89,-0.24,0.78,-1.24,-1.23,1.01,1.56,0.95
