Site,SO1,SO2,SO3,SO4,R,C,Buff,Zeb,Sbl,Kud,Imp,Hum,AllPrey,Bound,Post,Riv
23_01,0,0,0,0,-0.99,-0.64,0.52,2.14,0.01,-0.18,0.34,1.38,1.13,-1.33,-0.12,1.17
23_02,0,0,0,0,-1.07,-0.16,0.44,1.89,0.51,-0.18,-0.41,1.29,0.63,-1.25,0,1.18
23_03,0,0,0,0,-0.9,-0.38,0.36,1.63,0.37,-0.27,-0.22,1.29,0.63,-1.18,0.13,1.18
23_04,0,0,0,0,-0.36,-1.3,0.27,1.63,0.08,0.28,0.15,1.11,1.13,-1.12,0.15,1.2
23_05,0,1,NA,NA,-0.24,-0.75,0.19,1.51,0.3,0.19,-0.18,1.11,0.63,-1.1,0.1,1.22
39_01,0,0,0,1,0.75,1.69,0.19,2.65,1.15,0.01,-1.34,0.21,0.63,-1.55,-1.8,1.4
39_02,0,0,0,0,-0.23,1.39,0.6,2.53,1.15,-0.18,-1.25,0.3,0.63,-1.47,-1.63,1.4
39_03,0,0,0,0,-0.87,1.06,0.27,2.14,0.8,-1.26,-0.88,0.48,-0.14,-1.39,-1.47,1.39
39_04,0,0,0,0,-0.44,0.95,0.03,1.89,0.94,-0.18,-1.06,0.3,0.12,-1.32,-1.31,1.38
39_05,0,0,0,0,-0.58,0.76,-0.05,1.63,0.73,-0.18,-0.83,0.39,0.12,-1.25,-1.14,1.36
39_06,0,0,0,0,-0.7,1.39,-0.54,1.13,0.87,-1.54,-1.11,0.48,-1.16,-1.2,-0.98,1.34
39_07,0,0,0,0,-0.86,0.95,0.27,1.51,0.87,-1.26,-0.92,0.57,-0.39,-1.15,-0.81,1.33
39_08,0,0,0,0,-0.9,1.1,0.52,1.51,0.73,-1.17,-0.78,0.66,-0.14,-1.09,-0.65,1.3
42_01,0,0,0,0,-0.87,-0.23,0.76,0.62,0.3,-0.9,-0.04,-0.33,0.37,-0.13,-0.65,0.89
42_02,0,0,0,0,-0.68,0.28,0.03,0.23,0.51,-1.72,-0.46,-0.24,-0.9,-0.2,-0.49,0.91
