Site,SO1,SO2,SO3,SO4,PA,PAS,R,Crop,H,C,DistV,Kud,Imp,AllPrey,Post,Hnt,Htd,Riv
5,0,0,0,NA,0.54,-0.9,1.74,-0.52,1,1.25,-0.2,0.44,-1.28,0.21,0.21,1.13,1.71,1.12
6,0,0,0,0,0.68,-0.9,1.11,-0.54,1,0.87,0.03,0.44,-0.83,0.45,0.02,1.26,1.84,1
7,0,0,0,0,0.68,-0.9,-0.13,-0.54,1,0.4,0.4,0.44,-0.5,0.49,0.24,1.26,0.74,0.9
8,0,0,0,0,0.68,-0.74,-0.06,-0.54,1,0.12,0.64,0.44,-0.32,0.53,0.9,1.26,-0.47,0.67
9,0,0,0,0,0.68,-0.9,1.32,-0.54,1,-0.31,0.2,0.44,0.07,0.57,1.01,1.26,-0.67,0.22
10,0,0,0,NA,0.39,-0.9,-1.34,0.19,0.12,-0.03,-0.91,0.12,-0.05,0.37,-0.05,1,-0.67,-0.64
11,0,0,0,NA,-1.63,-0.9,-0.13,0.3,-0.41,0.35,-1.31,0.05,0.39,-1.14,-1.1,-0.79,-0.67,-0.75
21,0,0,0,0,-1.14,-0.32,0.13,0.48,1,1.15,-1.32,-0.15,-1.37,-1.06,-1.62,-0.35,0.11,1.5
22,0,0,0,0,0.29,0.69,1.97,-0.3,1,1.06,-0.9,0.36,-1.04,0.29,-0.8,0.91,1.44,1.39
23,0,0,NA,NA,0.68,-0.48,-1.22,-0.54,1,-0.26,0.03,0.44,0.31,0.74,0.27,1.26,1.84,1.29
25,0,1,0,0,0.68,0.49,1.57,-0.54,1,0.07,0.76,0.44,-0.32,0.62,0.86,1.26,1.84,0.94
26,0,0,0,0,0.68,1.31,-0.13,-0.54,1,-0.07,0.83,0.48,0.04,0.82,1.37,1.26,1.84,0.59
27,0,0,0,0,0.68,0.58,-0.34,-0.54,0.84,0.26,0.5,0.48,-0.05,0.74,1.12,1.26,1.01,0.02
28,0,0,0,0,0.68,-0.15,-1.15,-0.54,-1.09,0.35,-0.04,0.44,0.93,0.62,0.07,1.26,0.19,-1.66
29,0,0,0,0,-0.45,-0.9,2.95,-0.5,-0.12,0.82,-0.53,0.44,-0.71,-0.49,-0.87,0.26,-0.67,-0.71
39,0,0,0,0,0.66,1.29,-0.08,-0.52,1,1.62,-0.37,0.4,-1.13,0.57,-1.16,1.24,1.84,1.55
40,0,0,0,0,0.68,1.31,-0.17,-0.54,1,1.53,0.18,0.44,-0.95,0.66,-0.56,1.26,1.84,1.43
41,0,0,0,NA,0.68,1.27,1.32,-0.54,1,0.73,0.48,0.44,-0.5,0.74,0.03,1.26,1.84,1.3
42,0,0,0,NA,0.68,0.87,-0.57,-0.54,1,0.45,0.78,0.48,-0.02,0.86,-0.22,1.26,1.84,1.15
43,0,0,0,0,0.68,1.31,2.02,-0.54,1,0.16,1.03,0.44,-0.17,0.74,-0.02,1.26,1.84,0.96
44,0,0,0,NA,0.68,0.87,1.57,-0.54,1,0.16,1.02,0.48,-0.35,0.66,0.65,1.26,1.84,0.67
45,0,0,0,0,0.68,-0.04,0.43,-0.54,0.78,0.16,0.76,0.48,-0.53,0.45,1.25,1.26,1.21,0.23
46,0,0,0,0,0.68,-0.87,-0.45,-0.54,-0.48,0.73,0.36,0.44,-0.32,0.33,0.67,1.26,-0.59,-0.61
47,0,0,0,0,0.44,-0.9,-0.36,-0.52,-1.07,1.01,-0.51,0.44,0.51,0.29,0.03,1.04,-0.67,-1.72
48,0,0,NA,NA,-1.36,-0.9,-0.29,-0.34,-1.2,0.82,-1.43,0.36,0.93,-0.9,-0.15,-0.55,-0.67,-1.42
56,0,0,NA,NA,-1.02,-0.21,1.13,-0.08,1,1.29,-0.75,0.28,-1.25,-0.82,-0.26,-0.24,0.11,1.58
57,0,0,0,0,0.68,1.31,0.83,-0.54,1,1.86,-0.26,0.4,-1.28,0.57,-0.12,1.26,1.84,1.48
58,0,0,0,0,0.68,1.31,1.74,-0.54,1,1.48,0.46,0.44,-1.04,0.62,0.1,1.26,1.84,1.33
59,0,0,0,0,0.68,1.31,1.16,-0.54,1,0.59,0.82,0.44,-0.44,0.74,-0.56,1.26,1.84,1.17
60,0,0,0,0,0.68,1.31,-0.82,-0.54,1,0.59,1.02,0.48,-0.08,0.86,-1.27,1.26,1.84,0.98
61,0,0,0,1,0.68,1.31,2.3,-0.54,1,0.07,1.19,0.48,-0.05,0.78,-0.89,1.26,1.84,0.79
62,0,0,0,0,0.68,-0.61,0.67,-0.54,1,-0.03,1.17,0.48,-0.05,0.62,0.07,1.26,1.84,0.54
63,1,0,0,0,0.68,-0.9,-0.92,-0.54,-0.63,0.3,0.91,0.48,0.34,0.45,0.61,1.26,1.84,0.05
64,0,0,0,NA,0.68,-0.9,2.09,-0.54,-0.04,0.59,0.59,0.48,-0.56,0.29,0.44,1.26,1.39,-0.3
66,0,0,0,NA,0.54,-0.9,0.5,-0.49,-1.2,0.4,-0.85,0.44,0.78,0.25,0.84,1.13,-0.67,-1.49
74,0,0,0,NA,0.02,0.71,-0.34,-0.28,1,1.11,-0.07,0.4,-0.83,0.29,-0.92,0.67,0.61,1.49
75,0,0,0,0,0.68,1.31,-0.03,-0.54,1,1.53,0.33,0.44,-1.01,0.62,0.07,1.26,1.16,1.37
76,0,0,0,0,0.68,1.31,0.01,-0.54,1,1.62,0.67,0.44,-1.04,0.66,0.35,1.26,1.76,1.24
77,0,0,0,0,0.68,1.31,-0.75,-0.54,1,0.3,0.97,0.48,0.1,0.9,-0.69,1.26,1.84,1.05
78,0,0,0,0,0.68,1.31,0.32,-0.54,1,0.78,1.2,0.48,-0.14,0.86,-1.53,1.26,1.84,0.8
79,0,0,0,0,0.68,1.31,0.34,-0.54,1,-0.07,1.35,0.48,0.51,0.98,-1.05,1.26,1.84,0.48
80,0,0,0,0,0.68,0.01,-0.29,-0.54,0.54,0.12,1.28,0.48,0.16,0.7,-0.09,1.26,1.84,0.15
83,0,0,0,0,0.68,-0.23,-0.66,-0.54,-1.2,-0.31,0.49,0.48,1.23,0.62,-0.23,1.17,1.64,-1.74
84,0,0,0,0,0.68,-0.87,0.04,-0.54,-1.2,-0.45,-0.14,0.44,1.26,0.62,0.61,1.26,-0.07,-1.42
85,0,0,NA,NA,-0.55,-0.9,0.57,-0.34,-1.2,-0.4,-1.36,0.4,1.17,-0.33,1.59,0.17,-0.67,-1.73
91,0,0,0,NA,-1.09,-0.28,-0.94,0.37,1,0.12,-0.96,0.12,-0.26,-0.78,-1.47,-0.31,-0.67,1.54
94,0,0,0,NA,0.68,1.31,-0.31,-0.54,1,0.4,0.91,0.48,0.22,0.98,0.66,1.26,0.21,1.08
96,0,0,NA,NA,0.68,1.31,-1.27,-0.54,1,0.45,1.31,0.48,0.48,1.02,-0.55,1.26,1.84,0.67
97,0,0,0,0,0.68,1.31,0.62,-0.54,0.78,-0.03,1.47,0.48,0.42,0.94,-0.32,1.26,1.84,0.19
98,0,0,0,0,0.68,1.31,-0.82,-0.54,-0.72,-1.3,1.4,0.48,1.26,0.86,-0.02,1.26,1.84,-0.9
99,0,0,0,0,0.68,1.31,-0.13,-0.54,-1.2,-0.92,1.22,0.48,1.26,0.66,-0.96,1.26,1.84,-1.5
100,0,0,0,0,0.68,1.31,0.2,-0.54,-1.2,-0.07,1,0.48,1.26,0.74,-1.61,0.65,0.99,-1.61
101,0,0,0,0,0.68,1.31,1.39,-0.54,-1.2,-0.59,0.67,0.48,1.23,0.62,-0.84,-0.7,-0.49,-1.15
102,0,0,0,0,0.68,0.27,-0.64,-0.54,-1.2,-0.4,0.16,0.48,0.9,0.41,0.23,0.15,0.56,-0.58
103,0,0,0,NA,0.17,-0.9,-0.85,-0.48,-1.2,-0.35,-0.68,0.44,1.26,0.37,1.28,0.8,1.14,-1.7
105,0,0,0,0,0.41,-0.9,-0.8,-0.3,-1.2,-1.25,-0.42,0.44,1.14,0.21,1.93,1.02,0.01,-1.08
110,0,0,0,0,0.68,1,-1.59,-0.54,1,0.45,0.01,0.44,0.13,0.9,-0.2,1.26,-0.32,1.34
112,0,0,0,NA,0.68,1.31,-0.45,-0.54,1,-0.54,0.98,0.48,0.81,1.07,1.25,1.26,-0.57,0.92
114,0,0,0,0,0.68,1.31,-0.08,-0.54,1,-0.59,1.43,0.48,0.99,1.15,0.54,1.26,1.84,0.39
115,0,0,0,0,0.68,1.31,-0.87,-0.54,1,-0.68,1.57,0.48,0.96,1.11,0.67,1.26,1.84,0.13
116,0,0,0,0,0.68,1.31,0.67,-0.54,0.6,-0.78,1.49,0.48,0.96,1.02,0.21,1.26,1.84,-0.52
117,0,0,0,0,0.68,1.31,-0.43,-0.54,-0.9,-1.01,1.32,0.48,1.26,0.82,-0.76,0.76,1.06,-1.65
118,0,0,0,0,0.68,1.31,0.99,-0.54,-1.18,-0.35,1.1,0.48,1.08,0.53,-1.26,-0.89,-0.67,-0.72
121,0,0,0,0,0.68,0.45,0.29,-0.54,-1.2,-0.4,0.29,0.48,0.72,0.29,0.67,-0.11,0.09,-0.1
122,0,0,0,NA,0.68,-0.68,1.34,-0.54,-1.2,-0.35,0.34,0.48,0.63,0.17,0.59,1,-0.39,-0.12
123,0,0,0,0,0.68,-0.9,-0.38,-0.54,-1.2,-1.53,0.16,0.48,1.2,0.33,0.93,1.26,-0.67,-0.29
124,0,0,0,NA,0.63,-0.9,1.18,-0.54,-1.2,-0.78,-0.72,0.48,1.26,0.33,1.58,1.22,-0.67,-0.8
125,0,0,0,NA,-1.24,-0.9,-1.03,1.09,-1.2,-1.77,-1.36,-1.02,1.02,-1.02,2.41,-0.44,-0.67,-0.15
127,0,0,NA,NA,-0.2,-0.9,1.39,-0.52,1,1.76,-0.14,0.4,-1.43,-0.2,0.64,0.48,0.91,1.47
128,0,0,0,0,0.68,-0.52,-0.27,-0.54,1,1.34,0.3,0.44,-0.98,0.49,0.8,1.26,1.41,1.3
129,0,1,0,NA,0.68,0.69,0.71,-0.54,1,0.54,0.73,0.44,-0.53,0.66,1.33,1.26,0.04,1.09
130,0,0,NA,NA,0.68,1.24,0.27,-0.54,1,0.45,1.04,0.44,0.01,0.9,1.93,1.26,-0.59,0.82
131,0,0,0,0,0.68,1.31,2.46,-0.54,1,0.45,1.28,0.44,0.25,0.98,1.65,1.26,0.29,0.42
132,0,0,0,0,0.68,1.31,0.95,-0.54,1,-0.45,1.47,0.48,0.66,1.02,1.41,1.26,1.81,-0.24
134,0,0,NA,NA,0.68,1.31,-0.66,-0.54,0.95,-0.12,1.56,0.48,0.87,1.11,0.78,0.46,0.74,-1.77
135,0,0,0,NA,0.68,1.31,-0.13,-0.54,0.36,-0.26,1.41,0.48,0.63,0.9,0.07,-0.83,-0.62,-0.9
136,0,0,0,0,0.68,1.31,1.02,-0.54,-0.32,-0.35,1.23,0.48,0.48,0.62,-0.2,-0.92,-0.67,0.06
140,0,0,0,0,0.68,1.22,-0.24,-0.54,-1.2,-0.59,0.13,0.48,1.17,0.49,-0.5,-0.85,-0.67,-0.49
141,0,0,0,0,0.26,-0.08,-0.87,-0.18,-1.2,-1.49,-0.61,0.36,1.29,0.41,0.02,0.02,-0.67,-2.05
142,0,0,0,NA,-1.07,-0.9,-2.08,0.39,-1.2,-1.58,-1,0.01,1.29,-0.53,0.88,-0.28,-0.67,-1.52
143,0,0,0,NA,-1.78,-0.9,-1.59,0.07,-1.2,-1.63,-1.34,0.32,1.17,-1.06,1.87,-0.92,-0.67,-0.21
147,0,0,1,0,0.68,-0.9,0.18,-0.54,1,1.91,0.81,0.4,-1.43,0.33,2.09,1.26,1.84,1.09
148,0,0,NA,NA,0.68,-0.76,0.15,-0.54,1,1.53,1.1,0.4,-1.1,0.49,1.61,1.26,1.69,0.81
149,0,0,0,NA,0.68,0.93,0.46,-0.54,1,0.92,1.33,0.4,-0.29,0.82,0.96,0.39,-0.19,0.42
150,0,0,0,0,0.68,1.31,0.27,-0.54,1,-0.07,1.51,0.44,0.51,1.02,0.62,-0.39,-0.12,-0.25
153,0,0,NA,NA,0.68,1.31,0.04,-0.54,1,-0.83,1.37,0.48,0.57,0.9,1,-0.92,-0.67,0.04
154,0,0,0,0,0.68,1.31,0.53,-0.54,-0.35,-0.54,1.19,0.48,0.96,0.78,0.55,-0.92,-0.67,-0.08
155,0,1,0,NA,0.68,1.31,-0.85,-0.54,-1.2,-1.2,1,0.48,1.2,0.45,0.27,-0.92,-0.67,0.01
156,0,0,0,0,0.68,1.31,2.39,-0.54,-1.2,-0.17,0.82,0.48,1.14,0.41,-0.15,-0.92,-0.67,-0.03
157,0,0,0,0,0.68,1.31,0.08,-0.54,-1.2,-0.45,0.57,0.48,1.23,0.45,-1.13,-0.92,-0.67,-0.52
158,0,0,0,0,0.66,0.69,-1.06,-0.54,-1.2,-0.07,0,0.48,1.32,0.7,-1.47,-0.92,-0.67,-1.73
159,1,1,0,0,-1.61,-0.83,-0.89,0.83,-1.2,-1.01,-1.54,-0.43,0.93,-1.14,-0.59,-0.92,-0.67,-0.91
160,0,0,0,NA,-1.78,-0.9,-0.52,-0.06,-1.2,-1.16,-1.28,0.36,1.17,-1.02,0.48,-0.92,-0.67,-0.04
163,0,0,NA,NA,0.68,-0.9,-0.85,-0.14,1,1.95,-0.71,0.2,-1.55,0.29,2.86,1.26,-0.57,1.49
164,0,0,0,0,0.68,-0.9,0.13,-0.54,1,2.19,0.29,0.4,-1.46,0.33,2.72,1.26,0.61,1.34
165,0,0,0,0,0.68,-0.9,-0.22,-0.54,1,2.05,0.78,0.44,-1.46,0.33,1.9,1.26,1.09,1.15
166,0,0,0,0,0.68,-0.7,0.64,-0.54,1,1.11,1.08,0.44,-0.77,0.53,0.92,1.09,0.84,0.92
167,0,0,NA,NA,0.68,1.22,0.57,-0.54,1,0.73,1.31,0.44,-0.26,0.86,0.06,-0.81,-0.54,0.65
171,0,0,NA,NA,0.68,1.31,0.53,-0.54,0.98,0.3,1.27,0.48,-0.29,0.7,0.73,-0.92,-0.67,-0.14
173,0,0,0,0,0.68,1.31,-0.36,-0.54,-1.2,-1.11,0.77,0.48,1.32,0.74,-0.76,-0.92,-0.67,-1.61
