Site,SO1,SO2,SO3,SO4,R,C,Sbl,Kud,Imp,Hum,AllPrey,Bound,Post,Riv
25_01,0,0,0,0,-1.02,-0.80,0.36,-0.31,-0.22,0.07,0.26,0.20,1.17,0.67
25_02,0,0,0,0,-0.95,-1.27,0.27,0.06,-0.03,0.07,0.50,0.18,1.19,0.70
25_03,0,0,0,0,0.06,-0.90,0.36,0.00,-0.22,0.07,0.42,0.22,1.25,0.71
25_04,0,0,0,0,0.66,-0.01,0.48,-0.19,-0.48,0.02,0.26,0.26,1.18,0.73
25_05,0,0,1,0,1.45,0.29,0.57,-0.31,-0.71,-0.09,0.17,0.30,1.04,0.75
25_06,0,0,0,0,2.63,0.65,0.78,-0.25,-1.05,-0.25,0.09,0.35,0.92,0.76
25_07,0,0,0,0,3.04,-0.60,0.57,0.31,-0.63,-0.25,0.42,0.39,0.84,0.77
25_08,0,0,0,0,3.40,0.59,0.61,-0.68,-0.82,-0.25,-0.07,0.33,0.81,0.79
61_01,0,0,0,0,-1.02,-0.77,0.36,-0.19,-0.06,-1.08,0.50,1.96,-0.85,0.52
61_02,0,0,0,0,0.01,-1.23,0.23,0.00,0.24,-1.08,0.66,1.95,-0.74,0.53
61_03,0,0,0,0,1.47,-0.31,0.40,-0.37,-0.22,-1.08,0.42,1.92,-0.63,0.55
61_04,0,0,0,0,1.03,-0.31,0.48,-0.06,-0.33,-1.03,0.42,1.84,-0.52,0.56
61_05,0,0,.,.,-0.08,-0.27,0.53,-0.25,-0.48,-1.03,0.34,1.76,-0.43,0.58
61_06,0,0,0,0,0.10,-1.43,0.15,-0.06,0.35,-0.98,0.50,1.24,-1.15,0.73
61_07,0,0,0,0,-0.90,-1.56,0.10,-0.25,0.50,-0.98,0.58,1.23,-1.01,0.74
61_08,0,0,0,0,-0.78,-1.13,0.10,-0.62,0.50,-0.92,0.42,1.23,-0.88,0.74
61_09,0,0,0,0,-0.85,-1.46,0.02,-0.62,0.65,-0.92,0.50,1.20,-0.75,0.76
61_10,0,0,1,0,-1.01,-1.37,0.15,-0.43,0.43,-0.87,0.50,1.13,-0.64,0.78
63_01,0,0,0,0,-0.90,-0.01,0.86,0.75,-0.37,0.59,0.34,0.72,0.72,0.26
63_02,0,0,0,1,-0.95,-0.04,0.74,0.81,-0.03,0.75,0.50,0.64,0.80,0.20
63_03,0,0,0,0,-1.07,-0.67,0.15,0.88,0.77,0.80,0.50,0.55,0.78,0.14
63_04,0,0,0,0,-1.09,-0.64,-0.11,0.88,0.84,0.80,0.34,0.52,0.68,0.09
63_05,0,0,0,0,-1.07,-0.37,-0.02,0.88,0.65,0.69,0.26,0.52,0.55,0.03
63_06,0,0,0,0,-1.10,-0.60,-0.11,0.88,0.84,0.64,0.34,0.51,0.43,-0.04
63_07,0,0,0,0,-1.09,-0.47,-0.06,0.88,0.69,0.64,0.26,0.46,0.32,-0.13
63_08,0,0,0,0,-1.06,-0.21,0.02,0.88,0.58,0.59,0.26,0.39,0.21,-0.24
63_09,0,0,0,0,-0.82,-1.03,-0.23,0.88,1.07,0.69,0.42,0.30,0.16,-0.36
64_01,0,0,0,0,0.22,-1.27,-0.32,0.88,1.03,0.90,0.09,-0.01,0.20,-0.53
64_02,0,0,0,0,0.52,-0.51,-0.06,0.88,0.46,0.90,-0.07,-0.12,0.23,-0.54
64_03,0,0,0,0,0.70,-0.24,-0.06,0.88,0.46,1.01,0.01,-0.23,0.28,-0.49
92_01,0,0,0,0,0.79,0.88,0.69,-0.93,-0.93,0.17,0.01,-1.87,-1.03,1.21
92_02,0,1,1,0,0.58,0.55,0.69,-0.25,-0.97,0.12,0.26,-1.80,-0.89,1.20
129_01,0,0,0,0,0.58,1.31,0.95,-0.43,-1.27,0.38,0.09,-0.91,0.91,1.00
129_02,0,0,0,0,1.04,1.21,0.86,-0.43,-1.16,0.43,0.01,-0.80,1.04,0.99
129_03,0,0,0,0,1.32,1.44,0.86,-0.87,-1.20,0.43,-0.15,-0.69,1.16,0.97
129_04,1,1,1,0,1.92,0.49,0.78,0.13,-1.01,0.43,0.17,-0.58,1.30,0.96
147_01,0,0,0,0,-0.73,1.64,1.24,0.75,-1.35,1.53,-0.07,0.02,1.99,0.87
147_02,0,0,0,0,0.02,1.58,1.24,0.81,-1.35,1.48,-0.15,0.10,2.05,0.85
147_03,0,0,0,0,-0.90,0.65,1.03,0.75,-1.01,1.63,-0.07,0.20,2.15,0.83
147_04,0,0,0,0,-1.07,0.09,1.03,0.81,-0.93,1.68,0.09,0.28,2.25,0.82
147_05,0,0,0,0,-0.29,1.31,1.24,0.81,-1.35,1.37,-0.15,0.39,2.19,0.82
147_06,0,0,.,.,0.89,1.64,1.32,0.81,-1.42,1.11,-0.07,0.48,2.09,0.81
147_07,0,0,0,0,-0.67,1.51,1.20,0.75,-1.23,1.63,-0.07,-0.06,1.92,0.90
147_08,0,0,1,0,-0.90,0.16,0.90,0.81,-0.52,1.84,0.26,-0.14,1.86,0.93
147_09,0,0,0,0,-0.34,1.58,1.11,0.75,-1.16,1.74,0.01,-0.23,1.79,0.95
147_10,0,0,0,0,0.98,1.48,1.20,0.81,-1.31,1.63,-0.07,-0.30,1.73,0.98
147_11,0,0,.,.,2.00,1.68,1.32,0.88,-1.46,1.48,0.01,-0.37,1.67,0.99
155_01,0,0,0,0,1.17,0.16,-0.95,0.63,1.18,-0.35,0.26,-0.02,-0.20,-0.13
155_02,0,0,0,0,0.98,0.25,-0.95,0.63,1.22,-0.35,0.26,-0.02,-0.11,-0.07
155_04,0,0,0,0,-0.23,-1.27,-1.12,0.44,1.60,-0.40,0.42,0.30,-0.11,-0.35
155_05,0,1,0,0,-0.42,-1.23,-1.12,0.50,1.56,-0.45,0.50,0.42,0.01,-0.30
155_06,0,0,0,0,-0.65,-1.10,-1.07,0.56,1.52,-0.45,0.50,0.54,0.11,-0.27
155_07,0,0,0,0,-0.59,-1.27,-1.03,0.56,1.48,-0.45,0.50,0.66,0.22,-0.24
155_08,0,0,.,.,-0.33,-1.40,-1.03,0.56,1.44,-0.51,0.50,0.75,0.30,-0.22
159_01,0,0,0,1,-0.05,0.19,-0.53,0.88,1.41,1.74,0.50,-2.03,-0.87,-1.66
159_02,0,0,0,0,-0.60,-1.13,-1.92,0.25,0.77,2.52,-1.54,-2.04,-0.73,-1.44
159_03,0,0,0,0,-0.29,-1.40,-2.34,-3.31,0.01,-1.39,-3.34,-1.96,-0.60,-1.29
159_04,0,0,0,0,0.86,-0.70,-2.29,-2.93,0.35,-1.39,-3.09,-2.05,-0.93,-1.43
159_05,0,0,0,1,1.42,-0.27,-2.34,-2.99,0.24,-1.39,-3.17,-1.99,-0.95,-1.08
159_06,0,0,0,0,-0.20,0.39,-2.34,-2.74,0.20,-1.39,-3.09,-1.88,-0.31,-0.10
159_07,0,0,0,0,-0.87,-0.14,-2.34,-2.74,0.16,-1.39,-3.09,-1.92,-0.44,-0.12
159_08,0,0,0,0,-0.64,-0.97,-2.34,-3.06,0.27,-1.39,-3.17,-1.95,-0.57,-0.18
159_09,0,0,0,0,-0.13,-1.13,-2.34,-3.24,0.31,-1.39,-3.17,-2.01,-0.70,-0.23
159_10,0,0,0,0,-0.48,-1.03,-2.17,-0.93,0.58,2.73,-2.28,-2.05,-0.83,-0.31
185_01,0,0,0,0,-0.87,1.31,0.95,-0.31,-1.23,-0.98,0.09,0.74,-0.98,0.66
185_02,0,0,0,0,-0.22,1.61,1.03,-0.25,-1.31,-0.92,0.09,0.65,-0.86,0.69
185_03,0,0,0,0,0.85,0.98,0.90,-0.12,-1.16,-0.82,0.09,0.54,-0.73,0.72
185_04,0,0,0,1,1.20,0.78,0.95,0.31,-1.27,-0.82,0.17,0.45,-0.59,0.75
185_05,0,0,0,0,-0.27,1.08,0.95,0.19,-1.23,-0.77,0.17,0.39,-0.46,0.76
185_06,0,0,0,0,-0.89,0.98,0.95,0.19,-1.23,-0.71,0.26,0.30,-0.33,0.77
185_07,0,0,0,0,0.19,1.08,0.99,0.13,-1.31,-0.66,0.17,0.19,-0.20,0.79
205_01,0,0,0,0,-0.30,0.82,0.06,0.44,-0.37,-0.77,0.17,0.60,-0.41,-0.86
205_02,1,0,0,0,0.08,-0.08,0.53,-0.43,-0.56,-0.77,0.26,0.70,-0.52,-0.65
205_03,0,0,0,0,0.99,-0.04,0.53,-0.12,-0.52,-0.82,0.34,0.81,-0.65,-0.47
