Detection Matrix,SO1,SO2,SO3,SO4,SO5,,Site Covariates,DistV,Post,Bound,PAS,W,C,Prey,,"Substrate
Det Cov",SO1,SO2,SO3,SO4,SO5,,"Effort
Det Cov",SO1,SO2,SO3,SO4,SO5,,,,
5,0,0,0,0,.,,5,12.99,31.14,6.62,0.00,6.92,0.68,0.68,,5,1.25,1.25,1.375,2.666666667,.,,5,8,8,8,6,.,,,5,0.942771556
6,0,0,1,1,0,,6,16.61,28.62,15.14,0.00,11.05,0.59,0.74,,6,2.125,1.625,3,3.5,2.25,,6,8,8,8,8,8,,,6,1
7,1,0,0,0,0,,7,24.81,31.61,23.97,0.00,10.08,0.49,0.75,,7,3.25,3.125,3.375,3.375,3,,7,8,8,8,8,1,,,7,1
8,1,0,1,0,1,,8,31.96,40.37,27.34,0.07,8.44,0.43,0.76,,8,2.375,2.25,2.375,2.375,2,,8,8,8,8,8,8,,,8,1
9,1,1,1,0,.,,9,20.00,41.92,16.19,0.00,7.57,0.32,0.77,,9,2.625,2.5,2.5,2.428571429,.,,9,8,8,8,7,.,,,9,1
10,1,1,1,1,.,,10,6.08,27.61,5.71,0.00,13.32,0.34,0.72,,10,1.5,2.5,2.875,2.5,.,,10,8,8,8,6,.,,,10,0.884668
11,1,1,1,.,.,,11,3.95,13.43,6.85,0.00,15.32,0.29,0.35,,11,2.125,2.375,2.8,.,.,,11,8,8,5,.,.,,,11,0.064240444
21,0,1,0,0,.,,21,3.90,6.53,4.18,0.26,8.87,0.48,0.37,,21,1.125,2.375,2.875,2.285714286,.,,21,8,8,8,7,.,,,21,0.263122222
22,1,1,0,1,0,,22,6.13,17.45,5.14,0.72,8.15,0.54,0.70,,22,3.75,3.5,3.5,3.5,3,,22,8,8,8,8,4,,,22,0.838611556
23,0,1,1,.,.,,23,16.59,31.91,14.51,0.19,12.35,0.34,0.81,,23,3,2.875,3,.,.,,23,8,8,2,.,.,,,23,1
25,0,0,0,0,.,,25,36.40,39.90,35.08,0.63,7.22,0.40,0.78,,25,2.125,2,2.375,2.625,.,,25,8,8,8,8,.,,,25,1
26,0,1,0,0,0,,26,39.41,46.75,37.08,1.00,10.99,0.39,0.83,,26,1.25,1.25,2.125,2.625,2.5,,26,8,8,8,8,6,,,26,1
27,0,1,1,0,0,,27,27.39,43.43,26.26,0.67,12.76,0.45,0.81,,27,2.5,2,2,1.875,1.5,,27,8,8,8,8,8,,,27,1
28,1,0,1,1,0,,28,15.30,29.31,13.85,0.34,19.03,0.48,0.78,,28,1.875,2.25,1.875,2.625,2.25,,28,8,8,8,8,8,,,28,1
29,1,0,1,0,.,,29,9.16,16.62,3.63,0.00,0.85,0.52,0.51,,29,2,1.875,2,2,.,,29,8,8,8,8,.,,,29,0.540399556
39,1,0,1,0,.,,39,10.82,12.60,7.52,0.99,15.34,0.75,0.77,,39,1.5,2.75,2.25,2.5,.,,39,8,8,8,8,.,,,39,0.987446222
40,0,1,0,0,0,,40,19.47,20.70,17.24,1.00,16.61,0.71,0.79,,40,1.5,2.25,2.625,2.25,3,,40,8,8,8,8,7,,,40,1
41,0,0,0,0,.,,41,26.86,28.75,25.08,0.98,13.90,0.55,0.81,,41,2.75,2.375,2.125,2.333333333,.,,41,8,8,8,6,.,,,41,1
42,0,0,0,.,.,,42,37.32,25.32,35.31,0.80,17.74,0.50,0.84,,42,2.5,3.25,3,.,.,,42,8,8,6,.,.,,,42,1
43,0,0,0,0,0,,43,48.75,28.01,46.86,1.00,9.90,0.42,0.81,,43,1.25,1.75,1.375,1,1,,43,8,8,8,8,8,,,43,1
44,0,1,0,.,.,,44,48.16,37.12,46.91,0.80,7.25,0.41,0.79,,44,1.625,2,2,.,.,,44,8,8,7,.,.,,,44,1
45,0,0,0,0,0,,45,36.19,45.25,33.65,0.39,2.99,0.42,0.74,,45,2.25,1.5,1.125,1,2.25,,45,8,8,8,8,8,,,45,1
46,0,1,0,0,0,,46,23.62,37.35,19.37,0.01,5.98,0.56,0.71,,46,1.5,1,1.125,1.375,1,,46,8,8,8,8,3,,,46,1
47,1,0,0,0,.,,47,9.30,28.69,5.56,0.00,15.45,0.56,0.70,,47,1.375,2,1,1.285714286,.,,47,8,8,8,7,.,,,47,0.895637333
48,1,1,1,.,.,,48,3.45,26.28,4.83,0.00,12.00,0.33,0.41,,48,2.875,2.375,3,.,.,,48,8,8,2,.,.,,,48,0.165195111
56,0,0,0,.,.,,56,7.20,24.79,4.12,0.31,10.68,0.60,0.43,,56,2.625,4,4,.,.,,56,8,8,2,.,.,,,56,0.309138667
57,0,0,0,0,0,,57,12.22,26.70,11.42,1.00,14.89,0.82,0.77,,57,2.5,2.25,2.25,2.75,4,,57,8,8,8,8,2,,,57,1
58,1,0,0,0,0,,58,26.44,29.57,25.68,1.00,13.63,0.70,0.78,,58,1.5,1.25,1.75,1.625,1.5,,58,8,8,8,8,4,,,58,1
59,0,0,0,1,0,,59,38.94,20.71,37.25,1.00,13.08,0.52,0.81,,59,2.25,2.625,2.75,3,2.2,,59,8,8,8,8,5,,,59,1
60,0,0,0,0,.,,60,47.85,11.14,46.03,1.00,17.29,0.51,0.84,,60,1,1,2.25,2.75,.,,60,8,8,8,8,.,,,60,1
61,0,0,0,0,0,,61,58.36,16.30,56.15,1.00,11.61,0.41,0.82,,61,2,1.875,1.25,1.25,1,,61,8,8,8,8,7,,,61,1
62,0,0,0,0,0,,62,56.55,29.31,51.90,0.13,10.48,0.39,0.78,,62,2,2.125,1.375,1.875,2,,62,8,8,8,8,8,,,62,1
63,0,1,1,0,1,,63,43.21,36.54,37.67,0.00,9.12,0.47,0.74,,63,2.625,2.875,2.375,1.625,2.5,,63,8,8,8,8,4,,,63,1
64,1,1,0,1,.,,64,30.34,34.26,24.40,0.00,3.40,0.52,0.70,,64,2.875,2.375,3,2.333333333,.,,64,8,8,8,6,.,,,64,1
66,1,0,1,.,.,,66,6.41,39.74,6.45,0.00,9.42,0.40,0.69,,66,2.5,2.625,2.5,.,.,,66,8,8,6,.,.,,,66,0.943716889
74,0,0,0,0,.,,74,14.89,15.90,4.23,0.73,15.00,0.58,0.70,,74,2.375,2.125,2.125,2,.,,74,8,8,8,6,.,,,74,0.732577778
75,0,0,0,0,.,,75,23.02,29.34,15.95,1.00,15.51,0.72,0.78,,75,2.125,2,2,2.125,.,,75,8,8,8,8,.,,,75,1
76,0,0,0,1,0,,76,33.08,33.02,29.92,1.00,17.26,0.76,0.79,,76,2,3,4.25,2.125,2.285714286,,76,8,8,8,8,7,,,76,1
77,0,0,0,0,0,,77,45.78,18.98,44.21,1.00,17.25,0.47,0.85,,77,2.125,2,2,2.125,2,,77,8,8,8,8,6,,,77,1
78,0,0,0,0,0,,78,58.69,7.69,57.13,1.00,19.39,0.55,0.84,,78,2.5,2.375,2.25,2.25,2,,78,8,8,8,8,8,,,78,1
79,0,0,0,0,0,,79,68.64,14.06,65.77,1.00,17.91,0.37,0.87,,79,2.25,2.25,2.125,2.375,2.375,,79,8,8,8,8,8,,,79,1
80,0,0,0,0,0,,80,63.74,27.11,57.60,0.41,9.78,0.39,0.80,,80,1.625,1.625,2.25,2.625,3,,80,8,8,8,8,7,,,80,1
83,0,0,0,0,.,,83,27.24,25.17,26.35,0.30,24.90,0.34,0.78,,83,2.375,3,1.125,1.125,.,,83,8,8,8,8,.,,,83,1
84,1,1,0,1,1,,84,13.87,36.55,13.67,0.01,26.09,0.28,0.78,,84,1,1,1,1,1,,84,8,8,8,8,8,,,84,1
85,1,1,.,.,.,,85,3.70,49.73,3.54,0.00,14.19,0.20,0.55,,85,1,1,.,.,.,,85,8,8,.,.,.,,,85,0.495390667
91,0,0,0,.,.,,91,5.70,8.51,4.05,0.28,15.74,0.27,0.44,,91,1.5,1.5,1.625,.,.,,91,8,8,8,.,.,,,91,0.277271111
94,0,0,0,0,.,,94,42.70,37.22,35.87,1.00,21.34,0.50,0.87,,94,2.125,2,2,2,.,,94,8,8,8,6,.,,,94,1
96,0,0,.,.,.,,96,66.27,20.86,63.07,1.00,23.69,0.47,0.88,,96,2.375,2.714285714,.,.,.,,96,8,7,.,.,.,,,96,1
97,0,0,0,0,0,,97,78.15,24.04,74.31,1.00,14.85,0.38,0.86,,97,2.375,2.125,2.25,2.125,2.75,,97,8,8,8,8,8,,,97,1
98,0,0,0,0,0,,98,72.32,28.04,66.28,1.00,21.31,0.10,0.84,,98,1,1,1.375,1.125,1.25,,98,8,8,8,8,4,,,98,1
99,0,0,0,0,0,,99,60.05,15.30,55.78,1.00,15.06,0.11,0.79,,99,1.25,1.625,1.125,2,2,,99,8,8,8,8,4,,,99,1
100,0,0,0,0,0,,100,47.06,6.65,45.04,1.00,25.55,0.28,0.81,,100,2.25,1.75,1.75,2,2.75,,100,8,8,8,8,8,,,100,1
