Detection Matrix,SO1,SO2,SO3,SO4,,Site Covariates,DistV,Post,Bound,PAS,W,C,Prey,,Detection Covariate (Substrate),SO1,SO2,SO3,SO4
5_01,0,0,0,0,,5_01,8.3,32.9,0.7,0,3.76,0.91,0.51,,5_01,1,1,1,1
5_02,0,0,0,0,,5_02,9.9,33.1,2.2,0,8.57,0.93,0.60,,5_02,2,1,2,1
5_03,0,0,0,0,,5_03,11.4,32.6,3.8,0,10.53,0.96,0.60,,5_03,1,1,1,1
5_04,0,0,0,0,,5_04,12.9,32.5,5.7,0,6.77,0.96,0.59,,5_04,1,2,1,2
5_05,0,0,0,0,,5_05,14.3,32.5,7.4,0,3.81,0.79,0.59,,5_05,1,1,1,2
5_06,0,0,0,0,,5_06,15.8,31.5,8.1,0,18.29,0.43,0.63,,5_06,1,2,1,2
5_07,0,0,.,.,,5_07,16.7,30.5,8.5,0,29.27,0.14,0.67,,5_07,2,2,.,.
5_08,0,0,0,0,,5_08,17.7,31.0,12.5,0,0.35,0.96,0.59,,5_08,3,3,3,3
6_01,0,0,0,0,,6_01,13.4,22.2,12.3,0,11.26,0.35,0.64,,6_01,2,2,2,2
6_02,0,0,0,0,,6_02,15.2,24.1,13.9,0,9.07,0.67,0.62,,6_02,2,2,3,2
6_03,0,0,0,0,,6_03,17.1,26.0,15.7,0,11.29,0.79,0.60,,6_03,2,1,2,2
6_04,0,0,0,0,,6_04,18.1,27.4,16.7,0,13.11,0.74,0.60,,6_04,1,2,2,1
6_05,1,0,.,.,,6_05,17.6,27.4,16.2,0,17.61,0.61,0.62,,6_05,2,2,.,.
6_06,0,0,0,0,,6_06,17.3,27.7,15.8,0,22.14,0.19,0.66,,6_06,4,4,2,4
6_07,0,0,0,0,,6_07,18.0,28.9,16.4,0,23.40,0.02,0.67,,6_07,2,4,4,4
6_08,0,0,0,1,,6_08,17.7,29.3,16.1,0,21.42,0.24,0.65,,6_08,4,2,4,4
6_09,0,0,0,0,,6_09,17.2,29.2,15.5,0,15.32,0.85,0.60,,6_09,4,2,2,2
6_10,0,0,0,0,,6_10,17.0,29.5,15.3,0,13.87,0.91,0.60,,6_10,2,2,2,2
6_11,0,0,0,0,,6_11,17.4,30.1,15.2,0,8.30,0.85,0.60,,6_11,2,2,3,3
7_01,0,0,0,0,,7_01,17.9,26.3,16.7,0,8.49,0.69,0.60,,7_01,4,3,3,4
