Site,SO1,SO2,SO3,SO4,PAS,R,H,C,AllPrey,Imp,Hum,Post,Bound,Htd
5,0,1,1,NA,-1.08,1.48,0.54,-0.60,-0.31,-1.29,1.11,0.03,-0.99,0.92
6,0,0,0,1,-1.08,0.85,0.54,-0.34,0.07,-0.77,0.98,-0.15,-0.61,1.03
7,0,1,0,0,-1.08,-0.39,0.54,0.09,0.13,-0.39,0.79,0.07,-0.23,-0.01
8,1,1,1,0,-0.92,-0.32,0.54,0.35,0.19,-0.18,0.71,0.71,-0.08,-1.15
9,1,1,0,0,-1.08,1.06,0.54,-0.15,0.26,0.28,0.98,0.82,-0.57,-1.34
10,0,0,0,NA,-1.08,-1.61,-0.56,-1.41,-0.06,0.14,1.03,-0.23,-1.03,-1.34
11,0,0,1,NA,-1.08,-0.39,-1.23,-1.86,-2.41,0.66,0.87,-1.27,-0.98,-1.34
21,1,1,1,0,-0.51,-0.13,0.54,-1.87,-2.28,-1.39,0.79,-1.78,-1.09,-0.60
22,0,1,0,0,0.50,1.71,0.54,-1.40,-0.19,-1.01,0.56,-0.97,-1.05,0.65
23,0,1,NA,NA,-0.66,-1.49,0.54,-0.34,0.51,0.55,0.79,0.09,-0.64,1.03
25,1,1,1,0,0.31,1.32,0.54,0.49,0.32,-0.18,-0.36,0.68,0.26,1.03
26,1,0,1,0,1.12,-0.39,0.54,0.57,0.64,0.24,-0.83,1.18,0.35,1.03
27,1,1,1,0,0.39,-0.60,0.35,0.19,0.51,0.14,0.03,0.94,-0.13,0.25
28,1,0,1,0,-0.33,-1.42,-2.08,-0.42,0.32,1.28,0.69,-0.10,-0.67,-0.53
29,0,0,0,0,-1.08,2.70,-0.87,-0.97,-1.39,-0.63,1.06,-1.04,-1.12,-1.34
39,0,1,0,0,1.10,-0.35,0.54,-0.79,0.26,-1.12,0.11,-1.33,-0.95,1.03
40,1,1,0,0,1.12,-0.44,0.54,-0.17,0.38,-0.91,-0.26,-0.74,-0.52,1.03
41,1,1,1,NA,1.07,1.06,0.54,0.17,0.51,-0.39,-0.57,-0.14,-0.18,1.03
42,0,0,0,NA,0.68,-0.84,0.54,0.52,0.70,0.17,-0.89,-0.40,0.27,1.03
43,1,1,1,0,1.12,1.76,0.54,0.79,0.51,0.00,-1.25,-0.20,0.78,1.03
44,0,1,0,NA,0.68,1.32,0.54,0.78,0.38,-0.21,-1.04,0.47,0.78,1.03
45,0,1,1,1,-0.22,0.17,0.26,0.49,0.07,-0.42,0.24,1.07,0.20,0.44
46,1,0,0,0,-1.06,-0.72,-1.31,0.03,-0.12,-0.18,0.98,0.49,-0.43,-1.27
47,0,0,0,0,-1.08,-0.63,-2.05,-0.95,-0.19,0.80,1.06,-0.15,-1.03,-1.34
48,0,1,NA,NA,-1.08,-0.56,-2.22,-2.00,-2.03,1.28,1.03,-0.32,-1.07,-1.34
56,0,0,NA,NA,-0.40,0.87,0.54,-1.23,-1.90,-1.25,0.98,-0.43,-1.10,-0.60
57,0,1,0,0,1.12,0.57,0.54,-0.67,0.26,-1.29,0.29,-0.29,-0.78,1.03
58,1,1,0,1,1.12,1.48,0.54,0.15,0.32,-1.01,-0.44,-0.08,-0.15,1.03
59,1,1,0,1,1.12,0.89,0.54,0.56,0.51,-0.32,-1.10,-0.73,0.35,1.03
60,1,1,0,0,1.12,-1.09,0.54,0.78,0.70,0.10,-1.31,-1.44,0.74,1.03
61,0,0,0,1,1.12,2.04,0.54,0.98,0.57,0.14,-1.36,-1.06,1.18,1.03
62,0,0,1,0,-0.79,0.40,0.54,0.95,0.32,0.14,-0.68,-0.10,1.00,1.03
63,1,0,1,0,-1.08,-1.19,-1.50,0.67,0.07,0.59,0.40,0.43,0.37,1.03
64,1,1,1,NA,-1.08,1.83,-0.76,0.30,-0.19,-0.45,0.87,0.26,-0.21,0.61
66,0,0,0,NA,-1.08,0.24,-2.22,-1.34,-0.25,1.11,1.08,0.66,-0.99,-1.34
74,1,0,0,NA,0.53,-0.60,0.54,-0.45,-0.19,-0.77,0.50,-1.09,-1.09,-0.13
75,0,0,1,0,1.12,-0.30,0.54,0.00,0.32,-0.98,0.01,-0.10,-0.58,0.39
76,1,1,1,1,1.12,-0.25,0.54,0.39,0.38,-1.01,-0.55,0.17,0.03,0.96
77,1,1,1,1,1.12,-1.02,0.54,0.73,0.76,0.31,-1.28,-0.86,0.66,1.03
78,0,1,0,1,1.12,0.05,0.54,1.00,0.70,0.03,-1.39,-1.69,1.22,1.03
79,0,1,0,1,1.12,0.08,0.54,1.16,0.89,0.80,-1.41,-1.22,1.60,1.03
80,0,0,0,1,-0.18,-0.56,-0.04,1.08,0.45,0.38,-1.12,-0.26,1.25,1.03
83,0,1,1,1,-0.42,-0.93,-2.22,0.18,0.32,1.63,-0.07,-0.41,-0.12,0.84
84,1,0,1,1,-1.06,-0.23,-2.22,-0.53,0.32,1.67,0.85,0.43,-0.68,-0.77
85,0,1,NA,NA,-1.08,0.31,-2.22,-1.92,-1.14,1.56,1.08,1.40,-1.12,-1.34
91,0,0,1,NA,-0.46,-1.21,0.54,-1.47,-1.84,-0.11,0.64,-1.63,-1.10,-1.34
94,1,0,1,NA,1.12,-0.58,0.54,0.66,0.89,0.45,-0.97,0.48,0.29,-0.51
96,0,0,NA,NA,1.12,-1.54,0.54,1.12,0.95,0.76,-1.39,-0.72,1.48,1.03
97,0,0,1,0,1.12,0.36,0.26,1.30,0.83,0.69,-1.41,-0.49,1.98,1.03
