Site,SO1,SO2,SO3,SO4,R,C,Kud,Imp,Hum,AllPrey,Bound,Post
5_01,0,0,0,0,4.69,0.97,0.94,0.05,0.71,0.51,0.68,32.91
5_02,0,0,0,0,6.12,0.94,0.98,0.06,0.64,0.60,2.18,33.14
5_03,0,0,0,0,5.36,0.97,0.98,0.06,0.62,0.60,3.85,32.64
5_04,0,0,0,0,3.80,0.96,0.98,0.06,0.61,0.59,5.66,32.49
5_05,0,1,1,0,2.77,0.80,0.98,0.08,0.61,0.59,7.36,32.54
5_06,1,0,0,0,1.38,0.44,0.99,0.23,0.63,0.63,8.13,31.47
5_07,0,0,.,.,0.30,0.20,0.98,0.45,0.64,0.67,8.46,30.49
5_08,0,0,0,0,2.55,0.97,0.99,0.04,0.53,0.59,12.54,30.99
6_01,0,0,0,0,0.72,0.39,0.99,0.19,0.51,0.64,12.26,22.17
6_02,0,0,0,0,2.30,0.73,0.99,0.09,0.49,0.62,13.88,24.09
6_03,0,0,0,0,1.66,0.83,0.99,0.08,0.49,0.60,15.68,26.00
6_04,0,0,0,0,0.45,0.78,0.98,0.11,0.50,0.60,16.71,27.35
6_05,0,0,.,.,0.35,0.62,0.99,0.14,0.51,0.62,16.16,27.42
6_06,0,0,0,0,0.18,0.21,0.99,0.37,0.55,0.66,15.80,27.72
6_07,0,0,0,0,0.35,0.04,0.99,0.50,0.56,0.67,16.35,28.87
6_08,0,0,0,0,1.88,0.29,0.99,0.32,0.55,0.65,16.11,29.28
6_09,0,0,0,0,3.76,0.93,0.98,0.08,0.52,0.60,15.52,29.23
6_10,0,0,1,0,5.04,0.96,0.98,0.07,0.51,0.60,15.34,29.48
6_11,0,0,0,0,4.59,0.92,0.99,0.07,0.51,0.60,15.23,30.15
7_01,0,0,0,0,1.46,0.72,0.99,0.10,0.49,0.60,16.67,26.26
7_02,0,0,0,0,1.30,0.51,0.99,0.17,0.50,0.61,17.81,26.43
7_03,0,0,0,0,0.84,0.38,0.99,0.26,0.50,0.65,19.11,26.73
7_04,0,1,.,.,0.15,0.48,0.99,0.21,0.49,0.65,20.17,27.31
7_05,0,0,0,0,1.30,0.73,0.99,0.11,0.50,0.59,18.66,29.09
7_06,0,0,0,0,2.59,0.76,0.99,0.11,0.49,0.60,20.41,31.04
7_07,0,0,0,0,2.16,0.63,0.99,0.16,0.51,0.60,22.27,32.93
7_08,0,0,0,0,2.18,0.53,0.99,0.17,0.51,0.61,24.14,34.62
7_09,0,0,0,.,1.84,0.49,0.99,0.18,0.50,0.62,25.77,36.22
8_01,0,0,0,0,0.24,0.52,0.93,0.32,0.36,0.66,28.99,48.48
8_02,1,1,0,0,0.22,0.24,0.94,0.45,0.35,0.68,30.10,47.16
8_03,0,0,0,0,0.21,0.27,0.94,0.42,0.34,0.68,31.05,45.91
8_04,1,1,1,0,0.25,0.40,0.95,0.34,0.32,0.67,31.91,44.45
8_05,0,0,0,0,0.22,0.25,0.96,0.43,0.30,0.68,33.28,43.52
8_06,0,0,0,0,0.20,0.50,0.93,0.26,0.27,0.65,35.03,43.02
8_07,0,0,1,1,0.65,0.72,0.99,0.12,0.60,0.59,19.45,42.27
8_08,0,0,0,0,1.35,0.61,0.99,0.13,0.58,0.60,21.35,41.39
8_09,0,0,0,0,3.11,0.71,0.99,0.11,0.55,0.58,23.26,40.56
8_10,0,0,0,0,3.03,0.46,0.99,0.21,0.55,0.60,25.02,40.53
8_11,0,0,0,0,1.47,0.73,0.99,0.12,0.54,0.58,25.90,41.86
8_12,0,0,0,0,0.56,0.49,0.99,0.22,0.56,0.60,26.61,43.39
9_01,1,0,0,0,0.45,0.12,0.99,0.38,0.68,0.69,15.56,44.31
9_02,0,0,0,0,0.98,0.42,0.99,0.25,0.67,0.65,16.64,45.12
9_03,0,0,0,0,2.19,0.40,0.99,0.23,0.64,0.62,18.34,45.43
9_04,1,1,1,1,0.45,0.33,0.99,0.32,0.68,0.68,16.14,45.53
9_05,1,0,0,0,0.21,0.43,1.00,0.27,0.68,0.67,16.42,45.93
9_06,0,0,0,0,0.26,0.28,1.00,0.30,0.67,0.68,16.94,45.23
9_07,0,0,.,.,0.34,0.40,0.99,0.26,0.66,0.67,16.76,44.18
9_08,0,0,0,0,1.66,0.62,0.99,0.13,0.63,0.61,17.27,43.97
11_01,0,0,0,0,1.98,0.66,0.12,0.04,0.00,0.13,8.83,5.91
11_02,0,0,0,0,3.44,0.87,0.11,0.03,0.00,0.13,7.03,7.75
11_04,0,0,0,0,1.71,0.78,0.95,0.15,0.69,0.39,0.14,15.83
11_05,0,0,0,0,0.49,0.53,0.96,0.37,0.73,0.44,0.15,16.64
11_06,0,0,0,1,0.33,0.62,0.91,0.40,0.76,0.46,0.17,17.59
21_01,0,1,1,1,2.53,0.91,0.74,0.11,0.25,0.61,0.84,2.28
21_02,1,1,0,0,3.13,0.96,0.86,0.06,0.20,0.66,2.61,3.01
21_03,0,0,.,.,3.86,0.99,0.89,0.05,0.19,0.66,3.94,4.28
21_04,0,0,0,1,1.09,0.85,0.76,0.07,0.24,0.59,0.77,1.08
21_05,1,0,0,0,2.20,0.67,0.88,0.15,0.21,0.67,2.23,2.99
21_06,0,0,0,0,2.48,0.78,0.82,0.15,0.23,0.64,3.09,4.73
21_07,0,0,0,0,2.92,0.60,0.76,0.23,0.25,0.64,3.42,6.24
21_08,0,1,1,0,3.93,0.83,0.76,0.12,0.25,0.63,3.42,7.68
22_01,0,0,0,0,4.80,0.97,0.78,0.06,0.23,0.62,3.73,9.90
22_02,0,0,0,0,4.14,0.73,0.80,0.11,0.25,0.63,4.77,11.45
22_03,0,0,0,0,2.88,0.80,0.82,0.11,0.26,0.64,6.02,13.23
22_04,0,0,0,0,2.29,0.87,0.81,0.10,0.26,0.64,6.42,15.03
22_05,0,0,0,1,3.46,0.94,0.84,0.07,0.26,0.63,5.94,16.56
22_06,0,0,0,0,4.51,0.60,0.85,0.18,0.30,0.65,4.88,17.76
22_07,0,0,0,0,3.80,0.45,0.84,0.28,0.33,0.66,3.62,18.92
22_08,0,0,.,.,3.63,0.73,0.75,0.19,0.34,0.63,2.86,19.66
22_09,0,0,0,0,0.71,0.62,0.76,0.21,0.33,0.63,7.24,22.58
22_10,0,0,.,.,0.58,0.24,0.83,0.43,0.35,0.67,8.67,23.68
23_01,0,0,0,0,0.32,0.32,0.81,0.44,0.34,0.67,10.33,24.91
23_02,0,0,0,0,0.20,0.45,0.81,0.28,0.33,0.65,12.14,26.26
23_03,0,0,0,0,0.44,0.39,0.80,0.32,0.33,0.65,13.90,27.77
23_04,0,0,0,0,1.21,0.14,0.86,0.40,0.31,0.67,15.30,28.00
23_05,0,1,.,.,1.38,0.29,0.85,0.33,0.31,0.65,15.68,27.37
25_01,1,0,0,0,0.21,0.25,0.81,0.35,0.28,0.63,35.34,43.44
25_02,0,0,0,0,0.30,0.11,0.87,0.40,0.28,0.66,35.00,43.68
25_03,0,0,0,0,1.48,0.22,0.86,0.35,0.28,0.65,35.61,44.49
25_04,0,1,0,0,2.19,0.49,0.83,0.28,0.27,0.63,36.16,43.45
25_05,0,1,0,0,3.12,0.58,0.81,0.22,0.25,0.62,36.82,41.56
25_06,0,1,0,0,4.51,0.69,0.82,0.13,0.22,0.61,37.69,39.92
25_07,0,0,0,1,4.99,0.31,0.91,0.24,0.22,0.65,38.31,38.73
25_08,1,0,0,0,5.41,0.67,0.75,0.19,0.22,0.59,37.40,38.36
26_01,1,1,1,0,0.18,0.24,0.89,0.39,0.19,0.68,45.68,39.44
