Site,SO1,SO2,SO3,SO4,PA,PAS,R,Crop,H,C,DistV,Buff,SecPrey,AllPrey,Hum,Post,Bound,Hnt,Htd
5,0,0,0,NA,0.54,-0.90,1.73,-0.52,1.00,1.25,-0.20,-0.03,0.26,0.21,1.35,0.21,-0.91,1.13,1.71
6,0,0,1,0,0.68,-0.90,1.11,-0.54,1.00,0.87,0.03,0.41,0.43,0.45,1.22,0.02,-0.48,1.26,1.84
7,0,0,0,0,0.68,-0.90,-0.14,-0.54,1.00,0.40,0.40,0.35,0.51,0.49,1.05,0.24,-0.03,1.26,0.74
8,1,0,0,0,0.68,-0.74,-0.05,-0.54,1.00,0.12,0.64,0.24,0.59,0.53,0.97,0.90,0.13,1.26,-0.47
9,0,0,0,0,0.68,-0.90,1.33,-0.54,1.00,-0.31,0.20,0.18,0.68,0.57,1.22,1.01,-0.43,1.26,-0.67
10,0,0,0,NA,0.39,-0.90,-1.33,0.19,0.12,-0.03,-0.91,0.21,0.38,0.37,1.27,-0.05,-0.96,1.00,-0.67
11,0,0,0,NA,-1.63,-0.90,-0.14,0.30,-0.41,0.35,-1.31,-1.45,-1.08,-1.14,1.12,-1.10,-0.89,-0.79,-0.67
21,1,0,0,0,-1.14,-0.32,0.13,0.48,1.00,1.15,-1.32,-1.38,-0.95,-1.06,1.05,-1.62,-1.03,-0.35,0.11
22,0,0,0,0,0.29,0.69,1.98,-0.30,1.00,1.06,-0.90,-0.23,0.43,0.29,0.82,-0.80,-0.99,0.91,1.44
23,0,0,NA,NA,0.68,-0.48,-1.23,-0.54,1.00,-0.26,0.03,0.52,0.76,0.74,1.05,0.27,-0.51,1.26,1.84
25,0,1,1,0,0.68,0.49,1.57,-0.54,1.00,0.07,0.76,0.21,0.72,0.62,-0.06,0.86,0.53,1.26,1.84
26,1,0,0,0,0.68,1.31,-0.12,-0.54,1.00,-0.07,0.83,0.48,0.88,0.82,-0.51,1.37,0.63,1.26,1.84
27,1,1,1,0,0.68,0.58,-0.33,-0.54,0.84,0.26,0.50,0.58,0.76,0.74,0.32,1.12,0.08,1.26,1.01
28,0,0,1,1,0.68,-0.15,-1.16,-0.54,-1.09,0.35,-0.04,0.92,0.51,0.62,0.95,0.07,-0.54,1.26,0.19
29,1,1,0,0,-0.45,-0.90,2.96,-0.50,-0.12,0.82,-0.53,-1.28,-0.28,-0.49,1.30,-0.87,-1.06,0.26,-0.67
39,1,0,1,1,0.66,1.29,-0.08,-0.52,1.00,1.62,-0.37,0.72,0.55,0.57,0.39,-1.16,-0.86,1.24,1.84
