Site,SO1,SO2,SO3,SO4,R,H,C,Bound,Buff,Zeb,Sbl,Imp,SecPrey,AllPrey,Hum,Post,Hnt,Htd
43,1,0,0,1,2.22,1.22,0.43,0.21,-0.82,0.85,1.10,-1.30,0.39,-0.03,-0.40,0.55,1.34,1.42
59,0,0,0,0,1.24,1.22,1.01,-0.25,-0.38,0.73,1.10,-1.70,0.20,-0.03,-0.12,-0.16,1.34,1.42
60,1,0,1,0,-1.03,1.22,1.01,0.17,0.12,0.73,1.07,-1.16,0.57,0.53,-0.49,-1.08,1.34,1.42
61,0,0,1,1,2.54,1.22,0.30,0.65,-0.60,0.73,1.07,-1.12,0.57,0.16,-0.58,-0.58,1.34,1.42
77,1,1,0,0,-0.95,1.22,0.62,0.08,0.12,0.73,1.07,-0.90,0.76,0.72,-0.44,-0.32,1.34,1.42
78,0,0,0,0,0.27,1.22,1.26,0.70,0.41,0.60,1.07,-1.25,0.39,0.53,-0.63,-1.41,1.34,1.42
79,0,0,0,1,0.30,1.22,0.11,1.11,0.19,0.73,1.07,-0.27,1.31,1.09,-0.68,-0.80,1.34,1.42
80,1,1,1,1,-0.42,0.76,0.36,0.72,-0.89,-1.06,1.04,-0.81,0.20,-0.21,-0.16,0.46,1.34,1.42
83,1,1,1,1,-0.85,-0.98,-0.22,-0.78,0.84,-2.21,-0.86,0.79,-1.09,-0.59,1.70,0.27,1.26,1.24
96,0,0,NA,NA,-1.54,1.22,0.81,0.98,0.77,0.60,1.07,-0.32,1.12,1.28,-0.63,-0.14,1.34,1.42
97,0,1,1,0,0.62,1.00,0.17,1.52,-0.17,0.47,1.04,-0.41,1.12,0.90,-0.68,0.17,1.34,1.42
98,1,1,1,0,-1.03,-0.50,-1.57,1.14,0.55,0.09,-0.31,0.84,0.39,0.53,-0.68,0.55,1.34,1.42
99,1,1,1,1,-0.23,-0.98,-1.05,0.63,-0.10,0.09,-0.98,0.84,-0.54,-0.40,-0.68,-0.68,1.34,1.42
100,0,1,0,1,0.14,-0.98,0.11,0.12,0.91,0.09,-1.02,0.84,-0.54,-0.03,-0.58,-1.51,0.73,0.67
101,0,1,1,0,1.50,-0.98,-0.60,-0.54,-0.02,-0.04,-1.05,0.79,-0.54,-0.59,-0.30,-0.52,-0.63,-0.64
