Site,SO1,SO2,SO3,SO4,R,C,Buff,Zeb,Sbl,Kud,Imp,AllPrey,Hum,Bound,Post
6_01,0,0,0,0,-0.42,-0.21,-0.10,-0.42,1.29,0.88,-1.04,-0.07,1.03,-0.86,-0.17
6_02,0,0,0,0,0.97,1.04,-0.40,-0.67,1.51,0.88,-1.40,-0.34,0.93,-0.79,-0.03
6_03,0,0,0,0,0.41,1.41,-0.69,-0.93,1.51,0.88,-1.43,-0.61,0.93,-0.70,0.10
6_04,0,0,0,0,-0.66,1.23,-0.75,-1.09,1.40,0.79,-1.33,-0.61,0.98,-0.66,0.20
6_05,0,0,.,.,-0.75,0.64,-0.40,-0.93,1.40,0.88,-1.22,-0.34,1.03,-0.68,0.20
6_06,0,0,0,0,-0.90,-0.87,-0.10,-0.76,0.98,0.88,-0.41,0.20,1.22,-0.70,0.23
6_07,0,0,0,0,-0.75,-1.50,0.02,-0.67,0.82,0.88,0.05,0.33,1.27,-0.67,0.31
6_08,1,0,0,0,0.60,-0.58,-0.04,-0.76,1.08,0.88,-0.59,0.06,1.22,-0.68,0.34
6_09,0,0,0,0,2.26,1.78,-0.64,-0.93,1.51,0.79,-1.43,-0.61,1.07,-0.71,0.33
6_10,0,0,0,0,3.39,1.89,-0.69,-1.01,1.56,0.79,-1.47,-0.61,1.03,-0.72,0.35
6_11,0,0,0,0,2.99,1.74,-0.75,-1.01,1.56,0.88,-1.47,-0.61,1.03,-0.73,0.40
8_01,0,0,0,0,-0.85,0.27,0.31,-0.25,0.92,0.35,-0.59,0.20,0.31,-0.07,1.72
8_02,0,0,0,1,-0.86,-0.76,0.49,-0.17,0.66,0.44,-0.13,0.47,0.26,-0.02,1.62
8_03,0,0,0,0,-0.87,-0.65,0.55,-0.17,0.76,0.44,-0.23,0.47,0.21,0.02,1.53
8_04,0,0,0,0,-0.84,-0.17,0.55,-0.17,0.87,0.53,-0.51,0.33,0.12,0.07,1.43
8_05,0,0,0,0,-0.86,-0.73,0.55,-0.25,0.71,0.62,-0.20,0.47,0.02,0.13,1.36
8_06,0,0,0,0,-0.88,0.19,0.31,-0.17,0.98,0.35,-0.80,0.06,-0.12,0.21,1.33
8_07,0,0,0,0,-0.48,1.01,-0.75,-1.35,1.40,0.88,-1.29,-0.75,1.46,-0.53,1.27
8_08,0,0,0,0,0.13,0.60,-0.69,-1.35,1.40,0.88,-1.26,-0.61,1.36,-0.43,1.21
8_09,0,0,0,0,1.69,0.97,-0.93,-1.52,1.40,0.88,-1.33,-0.89,1.22,-0.34,1.15
8_10,0,0,0,0,1.62,0.05,-0.64,-1.43,1.19,0.88,-0.97,-0.61,1.22,-0.26,1.15
8_11,0,0,0,0,0.24,1.04,-0.99,-1.60,1.40,0.88,-1.29,-0.89,1.17,-0.22,1.24
8_12,0,0,0,0,-0.56,0.16,-0.75,-1.52,1.19,0.88,-0.94,-0.61,1.27,-0.18,1.35
21_01,1,1,1,1,1.18,1.71,-0.28,1.77,0.92,-1.34,-1.33,-0.48,-0.22,-1.41,-1.60
21_02,1,1,0,1,1.70,1.89,0.07,2.28,1.35,-0.27,-1.50,0.20,-0.46,-1.33,-1.55
21_03,0,0,.,.,2.35,2.00,0.07,2.11,1.40,-0.01,-1.54,0.20,-0.51,-1.26,-1.46
