Site,SO1,SO2,SO3,SO4,PA,PAS,R,Crop,H,C,DistV,AllPrey,Post,Bound,Hnt,Htd
5,1,1,1,NA,0.54,-0.90,1.74,-0.52,1.00,1.25,-0.20,0.21,0.21,-0.91,1.13,1.71
6,1,1,1,1,0.68,-0.90,1.11,-0.54,1.00,0.87,0.03,0.45,0.02,-0.48,1.26,1.84
7,1,1,0,1,0.68,-0.90,-0.13,-0.54,1.00,0.40,0.40,0.49,0.24,-0.03,1.26,0.74
8,1,1,1,1,0.68,-0.74,-0.06,-0.54,1.00,0.12,0.64,0.53,0.90,0.13,1.26,-0.47
9,1,1,1,1,0.68,-0.90,1.32,-0.54,1.00,-0.31,0.20,0.57,1.01,-0.43,1.26,-0.67
10,1,1,1,NA,0.39,-0.90,-1.34,0.19,0.12,-0.03,-0.91,0.37,-0.05,-0.96,1.00,-0.67
11,1,1,0,NA,-1.63,-0.90,-0.13,0.30,-0.41,0.35,-1.31,-1.14,-1.10,-0.89,-0.79,-0.67
21,1,1,1,0,-1.14,-0.32,0.13,0.48,1.00,1.15,-1.32,-1.06,-1.62,-1.03,-0.35,0.11
22,1,1,1,1,0.29,0.69,1.97,-0.30,1.00,1.06,-0.90,0.29,-0.80,-0.99,0.91,1.44
23,1,1,NA,NA,0.68,-0.48,-1.22,-0.54,1.00,-0.26,0.03,0.74,0.27,-0.51,1.26,1.84
25,0,1,1,0,0.68,0.49,1.57,-0.54,1.00,0.07,0.76,0.62,0.86,0.53,1.26,1.84
26,1,1,1,1,0.68,1.31,-0.13,-0.54,1.00,-0.07,0.83,0.82,1.37,0.63,1.26,1.84
27,1,1,1,1,0.68,0.58,-0.34,-0.54,0.84,0.26,0.50,0.74,1.12,0.08,1.26,1.01
28,1,1,1,1,0.68,-0.15,-1.15,-0.54,-1.09,0.35,-0.04,0.62,0.07,-0.54,1.26,0.19
29,0,1,1,0,-0.45,-0.90,2.95,-0.50,-0.12,0.82,-0.53,-0.49,-0.87,-1.06,0.26,-0.67
